question,answer,options.A,options.B,options.C,options.D,meta_info,answer_idx,metamap_phrases
"A 6-year-old boy is brought to the emergency department by his mother for worsening wheezing and shortness of breath over the past day. He has not had a fever, cough, vomiting, or diarrhea. He has asthma and eczema. He uses a glucocorticoid inhaler and an albuterol inhaler but has missed his medications for the past week while on vacation. He appears uncomfortable. His temperature is 36°C (96.8°F), pulse is 120/min, respirations are 40/min, and blood pressure is 100/80. Expiratory and inspiratory wheezing is heard throughout both lung fields. There are moderate intercostal and subcostal retractions and a decreased inspiratory to expiratory ratio. Nebulized albuterol and ipratropium treatments and intravenous methylprednisolone are given in the emergency department for a presumed asthma exacerbation. One hour later, the child is limp and lethargic. Magnesium sulfate is administered. His temperature is 36°C (96.8°F), pulse is 150/min, respirations are 22/min, and blood pressure is 100/70. No wheezing is heard on repeat pulmonary examination. Which of the following is the most appropriate next step in management?",Intubate with mechanical ventilation,Intubate with mechanical ventilation,Perform needle thoracostomy at the 2nd intercostal space,Perform bronchoscopy,Provide additional dose of methylprednisolone,step2&3,A,"[""year old boy"",""brought"",""emergency department"",""mother"",""worsening wheezing"",""shortness of breath"",""past day"",""not"",""fever"",""cough"",""vomiting"",""diarrhea"",""asthma"",""eczema"",""uses"",""glucocorticoid inhaler"",""albuterol inhaler"",""missed"",""medications"",""past week"",""vacation"",""appears"",""temperature"",""96"",""pulse"",""min"",""respirations"",""40 min"",""blood pressure"",""100 80"",""Expiratory"",""inspiratory wheezing"",""heard"",""lung fields"",""moderate"",""subcostal retractions"",""decreased inspiratory"",""expiratory ratio"",""Nebulized albuterol"",""ipratropium treatments"",""intravenous methylprednisolone"",""given"",""emergency department"",""presumed asthma exacerbation"",""One hour later"",""child"",""limp"",""lethargic"",""Magnesium sulfate"",""administered"",""temperature"",""96"",""pulse"",""min"",""respirations"",""min"",""blood pressure"",""100 70"",""wheezing"",""heard"",""repeat pulmonary examination"",""following"",""most appropriate next step"",""management""]"
"A 5-year-old female suffers from recurrent infections by Aspergillus species, Pseudomonas species, and Staphylococcus aureus. The patient's neutrophils are examined in the laboratory and they fail to react during the nitroblue tetrazolium test. Which of the following is most likely dysfunctional in this patient?",Respiratory burst,Immunoglobulin class switching,Superoxide dismutase,Myeloperoxidase,Respiratory burst,step1,D,"[""5 year old female suffers"",""recurrent infections"",""Aspergillus species"",""Pseudomonas species"",""Staphylococcus aureus"",""patient's neutrophils"",""examined"",""laboratory"",""fail to react"",""nitroblue tetrazolium test"",""following"",""most likely dysfunctional"",""patient""]"
"A 3-year-old boy presents to the emergency department with a ‘cough-like-a-seal bark’ and a high-pitched inspiratory noise that is audible without a stethoscope. His mother reports that his cough has worsened over the last few hours. The patient's blood pressure is 118/78 mm Hg, pulse is 90/min, respiratory rate is 35/min, and temperature is 38.3°C (101.1°F). On physical examination, the boy is sitting and leaning forward in apparent respiratory distress with suprasternal and intercostal retractions. Auscultation reveals inspiratory stridor without wheezing. He has a frequent barking cough and a hoarse voice when he speaks. What is a chest X-ray likely to show?",Steeple sign,Increased interstitial markings,Lobar consolidation in the lingual,Thumbprint sign on the lateral image,Steeple sign,step2&3,D,"[""3 year old boy presents"",""emergency department"",""cough"",""seal bark"",""high-pitched inspiratory noise"",""stethoscope"",""mother reports"",""cough"",""worsened"",""hours"",""patient's blood pressure"",""mm Hg"",""pulse"",""90 min"",""respiratory rate"",""35 min"",""temperature"",""3C"",""physical examination"",""boy"",""sitting"",""forward"",""apparent respiratory distress"",""suprasternal"",""intercostal retractions"",""Auscultation reveals inspiratory"",""wheezing"",""frequent barking cough"",""hoarse voice"",""speaks"",""chest X-ray likely to show""]"
"A 26-year-old woman presents to a gynecologist after a missed period. After performing a complete physical examination and a screening test for pregnancy, her gynecologist informs her that she is pregnant. She is very surprised as she has been taking oral contraceptives regularly. When the gynecologist asks her about the consumption of any other medications, she mentions that she was placed on treatment for pulmonary tuberculosis (TB) 2 months ago. Her current anti-TB regimen includes rifampin, isoniazid, pyrazinamide, and ethambutol. Which of the following mechanisms best explains the failure of oral contraceptives in this patient?",Induction of CYP3A4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone,Induction of CYP3A4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone,Induction of CYP2A6 by rifampin leading to increased inactivation of ethinylestradiol,Interference with the intestinal absorption of the oral contraceptive by pyrazinamide,Increased renal elimination of the progesterone component of the oral contraceptive by ethambutol,step1,A,"[""year old woman presents"",""gynecologist"",""missed period"",""performing"",""complete physical examination"",""screening"",""pregnancy"",""gynecologist informs"",""pregnant"",""very"",""taking oral contraceptives"",""gynecologist"",""consumption"",""medications"",""placed on treatment"",""pulmonary tuberculosis"",""months"",""current"",""TB regimen includes rifampin"",""isoniazid"",""pyrazinamide"",""ethambutol"",""following mechanisms best"",""failure"",""oral contraceptives"",""patient""]"
"A 4-year-old previously healthy boy presents with 4 days of intermittent vomiting and 5-6 daily loose stools. His mother noted bloody stools and decreased oral intake of food and water over the last 24 hours. He is normally in daycare; however, he has been home for the past 3 days. On physical exam his temperature is 102.2°F (39°C), blood pressure is 140/90 mmHg, pulse is 120/min, respirations are 22/min and O2 saturation is 99% on room air. He has dry mucous membranes. On abdominal exam you note diffuse tenderness to palpation without rebound or guarding. There are no masses, hepatosplenomegaly, and bowel sounds are hyperactive. Ultrasound of the right lower quadrant is negative for appendicitis. Stool is guaiac positive. He receives 15mg/kg acetaminophen and fluids are started. The next day, he complains of lower extremity weakness and tingling. On repeat exam, lower extremity strength is 3/5 with diminished patellar deep tendon reflexes. Which of the following lab findings would most likely be seen in this patient?",Increased cerebrospinal fluid protein with normal cell count,Gram stain positive CSF,Peripheral eosinophilia,Xanthochromia on cerebrospinal fluid analysis,Increased cerebrospinal fluid protein with normal cell count,step1,D,"[""4 year old"",""healthy boy presents"",""4 days"",""intermittent vomiting"",""5-6 daily loose stools"",""mother noted bloody stools"",""decreased oral intake"",""food"",""water"",""24 hours"",""daycare"",""home"",""past 3 days"",""physical exam"",""temperature"",""blood pressure"",""90 mmHg"",""pulse"",""min"",""respirations"",""min"",""O2 saturation"",""99"",""room air"",""dry mucous membranes"",""abdominal exam"",""note diffuse tenderness"",""palpation"",""guarding"",""masses"",""hepatosplenomegaly"",""bowel sounds"",""hyperactive"",""Ultrasound"",""right lower quadrant"",""negative"",""appendicitis"",""Stool"",""guaiac positive"",""receives"",""kg acetaminophen"",""fluids"",""started"",""next day"",""lower extremity weakness"",""tingling"",""repeat exam"",""lower extremity strength"",""3/5"",""diminished patellar deep tendon reflexes"",""following lab findings"",""most likely"",""seen"",""patient""]"
A 3-week-old male newborn is brought to the physician because of an inward turning of his left forefoot. He was born at 38 weeks' gestation by cesarean section because of breech presentation. The pregnancy was complicated by oligohydramnios. Examination shows concavity of the medial border of the left foot with a skin crease just below the ball of the great toe. The lateral border of the left foot is convex. The heel is in neutral position. Tickling the lateral border of the foot leads to correction of the deformity. The remainder of the examination shows no abnormalities. X-ray of the left foot shows an increased angle between the 1st and 2nd metatarsal bones. Which of the following is the most appropriate next step in the management of this patient?,Reassurance,Foot abduction brace,Arthrodesis of the forefoot,Reassurance,Tarsometatarsal capsulotomy,step2&3,C,"[""3 week old male newborn"",""brought"",""physician"",""inward turning"",""left forefoot"",""born"",""weeks"",""gestation"",""cesarean section"",""breech presentation"",""pregnancy"",""complicated"",""oligohydramnios"",""Examination shows concavity of"",""medial border"",""left foot"",""skin crease"",""ball"",""great toe"",""lateral border of"",""left foot"",""convex"",""heel"",""neutral position"",""Tickling"",""lateral border of"",""foot leads"",""correction"",""deformity"",""examination shows"",""abnormalities"",""X-ray of"",""left foot shows"",""increased angle"",""1st"",""2nd metatarsal bones"",""following"",""most appropriate next step"",""management"",""patient""]"
"A 42-year-old woman comes to the emergency department because of a 2-day history of right upper abdominal pain and nausea. She is 163 cm (5 ft 4 in) tall and weighs 91 kg (200 lb); her BMI is 34 kg/m2. Her temperature is 38.5°C (101.3°F). Physical examination shows a distended abdomen and right upper quadrant tenderness with normal bowel sounds. Laboratory studies show:
Leukocyte count 14,000/mm3
Serum
Total bilirubin 1.1 mg/dL
AST 32 U/L
ALT 40 U/L
Alkaline phosphatase 68 U/L
Abdominal ultrasonography is performed, but the results are inconclusive. Cholescintigraphy shows the intrahepatic bile ducts, hepatic ducts, common bile duct, and proximal small bowel. Which of the following is the most likely cause of this patient's symptoms?""",Obstruction of the cystic duct,Autodigestion of pancreatic parenchyma,Fistula between the gallbladder and small intestine,Infection with a hepatotropic virus,Obstruction of the cystic duct,step1,D,"[""year old woman"",""emergency department"",""2-day history"",""right upper"",""nausea"",""5 ft 4"",""tall"",""kg"",""200"",""BMI"",""kg/m2"",""temperature"",""Physical examination shows"",""distended abdomen"",""right upper quadrant tenderness"",""normal bowel sounds"",""Laboratory studies show"",""Leukocyte"",""Serum Total bilirubin"",""mg"",""L"",""Alkaline phosphatase"",""Abdominal ultrasonography"",""performed"",""results"",""inconclusive"",""shows"",""intrahepatic bile ducts"",""hepatic ducts"",""common bile duct"",""proximal small bowel"",""following"",""most likely cause"",""patient"",""ymptoms?""]"
A 72-year-old woman is admitted to the intensive care unit for shortness of breath and palpitations. A cardiac catheterization is performed and measurements of the left ventricular volume and pressure at different points in the cardiac cycle are obtained. The patient's pressure-volume loop (gray) is shown with a normal pressure-volume loop (black) for comparison. Which of the following is the most likely underlying cause of this patient's symptoms?,Increased ventricular wall stiffness,Mitral valve regurgitation,Increased systemic vascular resistance,Increased ventricular wall stiffness,Impaired left ventricular contractility,step1,C,"[""72 year old woman"",""admitted to"",""intensive care unit"",""shortness of breath"",""palpitations"",""cardiac catheterization"",""performed"",""measurements"",""left ventricular volume"",""pressure"",""different points"",""cardiac cycle"",""obtained"",""patient's pressure-volume loop"",""gray"",""shown"",""normal pressure-volume loop"",""black"",""comparison"",""following"",""most likely underlying cause"",""patient's symptoms""]"
"A 22-year-old woman is brought to the emergency department because of a 2-day history of fever, intermittent rigors, and night sweats. She also has a 1-month history of progressive fatigue. Five weeks ago, she was hospitalized and received intravenous antibiotics for treatment of bacterial meningitis while visiting relatives in Guatemala. Her temperature is 39.4°C (102.9°F), pulse is 130/min, and blood pressure is 105/70 mm Hg. Examination shows pallor and scattered petechiae and ecchymoses. Laboratory studies show a hemoglobin concentration of 9.0 g/dL, a leukocyte count of 1,100/mm3 with 30% segmented neutrophils, and a platelet count of 20,000/mm3 . Blood cultures grow coagulase-negative staphylococci. The patient was most likely treated with which of the following antibiotics?",Chloramphenicol,Doxycycline,Trimethoprim/sulfamethoxazole,Linezolid,Chloramphenicol,step1,D,"[""year old woman"",""brought"",""emergency department"",""2-day history"",""fever"",""intermittent rigors"",""night sweats"",""1 month history"",""progressive fatigue"",""Five weeks"",""hospitalized"",""received intravenous antibiotics"",""treatment"",""bacterial meningitis"",""visiting relatives"",""Guatemala"",""temperature"",""4C"",""9F"",""pulse"",""min"",""blood pressure"",""70 mm Hg"",""Examination shows pallor"",""scattered petechiae"",""ecchymoses"",""Laboratory studies show a hemoglobin concentration"",""9.0 g/dL"",""leukocyte count"",""1 100 mm3"",""30"",""segmented neutrophils"",""platelet count of 20"",""mm3"",""Blood cultures"",""coagulase-negative staphylococci"",""patient"",""most likely treated with"",""following antibiotics""]"
"An otherwise healthy 50-year-old man comes to the physician because of a 6-month history of increasingly frequent episodes of upper abdominal pain, nausea, vomiting, and diarrhea. He has had a 3.2-kg (7-lb) weight loss during this time. Physical examination shows bilateral pitting pedal edema. An endoscopy shows prominent rugae in the gastric fundus. Biopsy shows parietal cell atrophy. Which of the following is the most likely underlying cause?",Proliferation of gastric mucus-producing cells,Serotonin-secreting gastric tumor,Proliferation of gastric mucus-producing cells,Excessive somatostatin secretion,Ectopic secretion of gastrin,step1,B,"[""healthy 50 year old man"",""physician"",""of"",""month history"",""frequent episodes"",""upper abdominal pain"",""nausea"",""vomiting"",""diarrhea"",""3.2 kg"",""weight loss"",""time"",""Physical examination shows bilateral pitting pedal edema"",""endoscopy shows prominent rugae"",""gastric"",""Biopsy shows parietal cell atrophy"",""following"",""most likely underlying cause""]"
"A 27-year-old man presents to the emergency department. He was brought in by staff from the homeless shelter when they found him unresponsive. The patient is a known IV drug abuser but otherwise has an unknown past medical history. He currently attends a methadone clinic. His temperature is 99.5°F (37.5°C), blood pressure is 97/48 mmHg, pulse is 140/min, respirations are 29/min, and oxygen saturation is 98% on room air. Initial laboratory values are shown below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 6.3 mEq/L
HCO3-: 17 mEq/L
Glucose: 589 mg/dL

The patient is given treatment. After treatment, his temperature is 99.5°F (37.5°C), blood pressure is 117/78 mmHg, pulse is 100/min, respirations are 23/min, and oxygen saturation is 98% on room air. His laboratory values are seen below.

Serum:
Na+: 139 mEq/L
Cl-: 100 mEq/L
K+: 4.3 mEq/L
HCO3-: 19 mEq/L
Glucose: 90 mg/dL

Which of the following is the best next step in management?","Insulin, potassium, IV fluids, and glucose","Insulin, potassium, IV fluids, and glucose",IV fluids only,Oral rehydration,Supportive therapy and close monitoring,step2&3,A,"[""27 year old man presents"",""emergency department"",""brought"",""staff"",""homeless shelter"",""found"",""unresponsive"",""patient"",""known IV drug abuser"",""unknown past medical history"",""currently attends"",""methadone clinic"",""temperature"",""99"",""blood pressure"",""97 48 mmHg"",""pulse"",""min"",""respirations"",""29 min"",""oxygen saturation"",""98"",""room air"",""Initial laboratory values"",""shown"",""Serum"",""Na"",""mEq/L Cl"",""100 mEq/L K"",""6.3 mEq/L HCO3"",""mEq/L Glucose"",""mg/dL"",""patient"",""given treatment"",""treatment"",""temperature"",""99"",""blood pressure"",""mmHg"",""pulse"",""100 min"",""respirations"",""23 min"",""oxygen saturation"",""98"",""room air"",""laboratory values"",""seen"",""Serum"",""Na"",""mEq/L Cl"",""100 mEq/L K"",""4"",""mEq/L HCO3"",""mEq/L Glucose"",""90 mg/dL"",""following"",""best next step"",""management""]"
"A 67-year-old man who was diagnosed with arthritis 16 years ago presents with right knee swelling and pain. His left knee was swollen a few weeks ago, but now with both joints affected, he has difficulty walking and feels frustrated. He also has back pain which makes it extremely difficult to move around and be active during the day. He says his pain significantly improves with rest. He also suffers from dandruff for which he uses special shampoos. Physical examination is notable for pitting of his nails. Which of the following is the most likely diagnosis?",Psoriatic arthritis,Psoriatic arthritis,Arthritis mutilans,Rheumatoid arthritis,Mixed connective tissue disease,step2&3,A,"[""67 year old man"",""diagnosed"",""arthritis"",""years"",""presents"",""right"",""pain"",""left knee"",""swollen"",""few weeks"",""now"",""joints affected"",""difficulty walking"",""feels frustrated"",""back pain"",""makes"",""extremely difficult to move"",""active"",""day"",""pain"",""improves"",""rest"",""suffers"",""dandruff"",""uses special shampoos"",""Physical examination"",""notable"",""pitting of"",""nails"",""following"",""most likely diagnosis""]"
A 65-year-old woman schedules an appointment with her physician for evaluation of weight loss and weakness. The weakness is more noticeable when climbing stairs and combing hair. The weakness improves after brief exercise. She also has bladder incontinence for the past 4 weeks and was given an anticholinesterase agent with no improvement. What is the most likely cause of the symptoms?,Paraneoplastic syndrome from small cell carcinoma of the lung,Duchenne muscular dystrophy,Hypothyroidism,Myasthenia gravis,Paraneoplastic syndrome from small cell carcinoma of the lung,step1,D,"[""65 year old woman schedules"",""appointment"",""physician"",""evaluation of weight loss"",""weakness"",""weakness"",""more"",""climbing stairs"",""combing hair"",""weakness improves"",""brief exercise"",""bladder incontinence"",""past 4 weeks"",""given"",""anticholinesterase agent"",""improvement"",""most likely cause"",""symptoms""]"
"A 3-month-old boy presents to his pediatrician with persistent diarrhea, oral candidiasis, and signs and symptoms suggestive of respiratory syncytial virus (RSV) pneumonia. His weight is in the 10th percentile. He is being evaluated for an immunodeficiency disease. Laboratory results for the HIV are negative by PCR. Which of the following is the most likely cause of these findings in this patient?",Defective T cell function,Defective T cell function,Grossly reduced levels of B cells,Defective isotype switching,Selective IgA deficiency,step1,A,"[""3 month old boy presents"",""pediatrician"",""persistent diarrhea"",""oral candidiasis"",""signs"",""symptoms suggestive of respiratory syncytial virus"",""pneumonia"",""weight"",""percentile"",""evaluated"",""immunodeficiency disease"",""Laboratory results"",""HIV"",""negative"",""PCR"",""following"",""most likely cause"",""findings"",""patient""]"
"A 53-year-old man with recurrent pancreatic adenocarcinoma is enrolled in a clinical trial for a novel chemotherapeutic agent that his physician believes may be beneficial to his condition. The novel drug was previously tested in a small population and is now undergoing a larger phase 3 trial in preparation for FDA approval. A dose-response trial had the following results:

10 mg dose - 6/59 patients demonstrated improvement
20 mg dose - 19/49 patients demonstrated improvement
30 mg dose - 26/53 patients demonstrated improvement
40 mg dose - 46/51 patients demonstrated improvement

The same trial also had the following safety profile:

20 mg dose - 5/49 patients had a treatment related adverse event
40 mg dose - 11/51 patients had a treatment related adverse event
60 mg dose - 15/42 patients had a treatment related adverse event
80 mg dose - 23/47 patients had a treatment related adverse event
100 mg dose - 47/52 patients had a treatment related adverse event

Based on this study, which of the following represents the most likely therapeutic index for this novel chemotherapeutic agent?",2.67,0.375,0.5,2.5,2.67,step1,D,"[""year old man"",""recurrent pancreatic adenocarcinoma"",""enrolled"",""clinical trial"",""novel chemotherapeutic agent"",""physician"",""condition"",""novel drug"",""tested"",""small population"",""now"",""larger phase 3 trial"",""preparation"",""FDA approval"",""dose-response trial"",""following results"",""10 mg dose"",""6 59 patients"",""improvement 20 mg dose"",""patients"",""improvement 30 mg dose"",""patients"",""improvement 40 mg dose"",""46"",""patients"",""improvement"",""same trial"",""following safety profile"",""20 mg dose"",""patients"",""treatment related adverse event 40 mg dose"",""patients"",""treatment related adverse event 60 mg dose"",""patients"",""treatment related adverse event 80 mg dose"",""23"",""patients"",""treatment related adverse event 100 mg dose"",""patients"",""treatment related adverse event"",""Based"",""study"",""following represents"",""most likely therapeutic index"",""novel chemotherapeutic agent""]"
"A 67-year-old male is seen by neurology after he was noticed to be speaking strangely by his family. After acute treatment with tissue plasminogen activator (tPA), the patient is able to recover most of his speech. Subsequent neurologic exam finds that the patient is fluent while speaking and is able to comprehend both one and two step instructions. Noticeably the patient remains unable to complete tasks involving verbal repetition. Residual damage to which of the following structures is most likely responsible for this patient's syndrome?",Arcuate fasciculus,Arcuate fasciculus,Superior temporal gyrus,Inferior frontal gyrus + superior temporal gyrus,Arcuate fasciculus + inferior frontal gyrus + superior temporal gyrus,step1,A,"[""67 year old male"",""seen"",""neurology"",""to"",""speaking"",""family"",""acute treatment"",""tissue plasminogen activator"",""patient"",""able to recover most"",""speech"",""Subsequent neurologic exam finds"",""patient"",""fluent"",""speaking"",""able to"",""one"",""two step instructions"",""patient"",""unable to complete tasks involving verbal repetition"",""Residual damage"",""following structures"",""most likely responsible"",""patient's syndrome""]"
"A 27-year-old woman presents to the office with concerns about her long struggle with her physical appearance since adolescence. She says she has always been ""large"" and was constantly targeted by her classmates and coworkers for being so. Her main concern at the moment is her acne and unwanted facial hair on her upper lip, for which she often visits a local spa. She has tried numerous diet plans, exercise regimens, and cosmetic products with little to no effect. Recently, she underwent a glucose tolerance test that showed a plasma glucose level of 160 mg/dL (8.9 mmol/L) after 2 hours of a 75 g dose of oral glucose. She has a family history of type 2 diabetes mellitus and a menstrual cycle that occurs every 45 days. Her pulse is 72/min and the blood pressure is 138/80 mm Hg. On physical examination, her height is 160 cm (5 ft 3 in) and her weight is 85 kg (187 lb), and she has severe inflammatory acne over the cheeks and forehead and dark coarse hairs on the back. What is the most likely diagnosis of this patient?",Polycystic ovarian syndrome (PCOS),Hypothyroidism,Idiopathic hirsutism,Polycystic ovarian syndrome (PCOS),Ovarian hyperthecosis,step1,C,"[""27 year old woman presents"",""office"",""concerns"",""long"",""physical appearance"",""adolescence"",""always"",""large"",""constantly targeted"",""classmates"",""coworkers"",""so"",""main concern"",""acne"",""unwanted facial hair"",""upper lip"",""often visits"",""local spa"",""numerous diet plans"",""exercise regimens"",""cosmetic products"",""little"",""no effect"",""Recently"",""glucose tolerance test"",""showed"",""plasma glucose level"",""160 mg"",""mmol/L"",""2 hours"",""75 g dose"",""oral glucose"",""family history of type 2 diabetes mellitus"",""menstrual cycle"",""occurs"",""days"",""pulse"",""72 min"",""blood pressure"",""80 mm Hg"",""physical examination"",""height"",""5 ft"",""weight"",""85 kg"",""severe inflammatory acne"",""cheeks"",""forehead"",""dark coarse hairs"",""back"",""most likely diagnosis"",""patient""]"
"А 43-уеаr-old mаn рrеѕеntѕ wіth tіnglіng аnd numbnеѕѕ of the lowеr lіmbѕ for 2 wееkѕ. Не also сomрlаіnѕ of реrѕіѕtеnt раіn in his legs whісh is not relieved by over-the-counter analgesics. Past medical history is significant for type 2 dіаbеtes mellitus for 2 уеаrѕ, inconsistently managed with mеtformіn аnd glіmеріrіdе. Оn physical ехаmіnаtіon, thеrе іѕ dесrеаѕеd ѕеnѕаtіon to pain in both lower lіmbs, but deep tеndon rеflехеѕ аrе іntасt. Ніѕ vіtаl ѕіgnѕ include: blood рrеѕѕurе 122/84 mm Нg, tеmреrаturе 36.7°C (98.1°F), and rеѕріrаtorу rаtе 10/mіn. His ankle-brachial pressure index (ABPI) on the right side is 1.1. His blood sugar analyses are as follows:
Fasting 141 mg/ dL
2 hours Post-Prandial 235 mg/ dL
HbA1c 8.1%
Which of the following is the best measure to prevent the progression of the symptoms present in this patient?",Strict blood glucose control,Use of atorvastatin,Femoro-Ileal artery bypass,Strict blood glucose control,Lower limb amputation,step1,C,"[""r old mn"",""2 wk"",""legs"",""not relieved by over-the-counter analgesics"",""Past medical history"",""significant"",""type 2"",""r"",""managed"",""physical"",""thr"",""drd"",""pain"",""lower"",""deep"",""r ntt"",""gn include"",""blood"",""84 mm g"",""36"",""98"",""rt 10 mn"",""ankle-brachial pressure index"",""right side"",""1.1"",""blood sugar"",""follows"",""Fasting"",""mg"",""dL hours Post-Prandial"",""8.1"",""following"",""best measure to prevent"",""progression"",""symptoms present"",""patient""]"
"A one-day-old male is evaluated in the hospital nursery for bilious vomiting. The patient has urinated multiple times since birth but has not yet passed meconium. He was born at 38 weeks gestation to a 36-year-old gravida 3 via vaginal delivery. The pregnancy was complicated by gestational diabetes. The patient’s mother received routine prenatal care and declined first trimester screening. She subsequently underwent a quadruple screen at 15 weeks gestation that demonstrated decreased maternal serum alpha-fetoprotein (AFP), increased beta-hCG, decreased unconjugated estriol, and increased inhibin A. Her last ultrasound prior to onset of labor demonstrated an amniotic fluid index (AFI) of 28 cm. The patient’s two older siblings are both healthy. The patient’s temperature is 97.8°F (36.6°C), blood pressure is 58/37 mmHg, pulse is 166/min, and respirations are 38/min. On physical exam, the patient is in moderate distress. His abdomen is firm and distended with hypoactive bowel sounds.

Which of the following is the most likely etiology of this fetus’s presentation?",Duodenal atresia,Duodenal atresia,Meconium ileus,Necrotizing enterocolitis,Pyloric stenosis,step2&3,A,"[""one-day old male"",""evaluated"",""hospital nursery"",""bilious vomiting"",""patient"",""multiple times"",""birth"",""not"",""passed meconium"",""born"",""weeks gestation"",""36 year old gravida 3"",""vaginal delivery"",""pregnancy"",""complicated"",""gestational diabetes"",""patients mother received routine prenatal care"",""first trimester screening"",""quadruple screen"",""weeks gestation"",""decreased maternal serum alpha-fetoprotein"",""increased beta-hCG"",""decreased unconjugated estriol"",""increased inhibin A"",""last ultrasound prior to onset of labor"",""amniotic fluid index"",""patients two older siblings"",""healthy"",""patients temperature"",""97"",""36"",""blood pressure"",""58"",""mmHg"",""pulse"",""min"",""respirations"",""min"",""physical exam"",""patient"",""moderate distress"",""abdomen"",""firm"",""distended"",""hypoactive bowel sounds"",""following"",""most likely etiology"",""presentation""]"
"A healthy 23-year-old male is undergoing an exercise stress test as part of his physiology class. If blood were to be sampled at different locations before and after the stress test, which area of the body would contain the lowest oxygen content at both time points?",Coronary sinus,Inferior vena cava,Coronary sinus,Pulmonary artery,Pulmonary vein,step1,B,"[""healthy 23 year old male"",""exercise stress test"",""part of"",""physiology class"",""blood"",""to"",""sampled"",""different locations"",""stress test"",""area"",""body"",""contain"",""lowest oxygen content"",""time points""]"
"A 45-year-old G5P4105 presents to her gynecologist’s office with six months of increasingly heavy periods. She now soaks one super absorbent tampon every two hours for five days each cycle. Her cycles have also become irregular, with intermenstrual bleeding for the last two months. She now experiences significant dysmenorrhea, requiring 400 mg ibuprofen every four hours for the majority of each menses. In addition, she reports new onset mild dyspareunia with intercourse and a “heavy feeling” in her pelvis. She has also noticed increased urinary frequency but denies bowel changes. The patient has a past medical history of obesity and type II diabetes on metformin. Her last child was born four years ago, and she has had five spontaneous vaginal deliveries. At this office visit, temperature is 98.5°F (36.9°C), blood pressure is 137/84 mmHg, pulse is 87/min, and respirations are 14/min. Which of the following physical exam findings is most likely to be present in this patient?",Globular 10-week sized uterus,Globular 10-week sized uterus,Adnexal mass,Irregular 14-week sized uterus,No remarkable physical exam finding,step2&3,A,"[""year old"",""presents"",""gynecologists office"",""six months"",""heavy periods"",""now soaks one"",""absorbent tampon"",""two hours"",""five"",""cycle"",""cycles"",""irregular"",""intermenstrual bleeding"",""two months"",""now experiences significant dysmenorrhea"",""400 mg ibuprofen"",""four hours"",""majority"",""menses"",""addition"",""reports new onset mild dyspareunia"",""intercourse"",""heavy feeling"",""pelvis"",""increased urinary frequency"",""denies bowel changes"",""patient"",""past medical"",""type II diabetes"",""metformin"",""last child"",""born four years"",""five spontaneous vaginal deliveries"",""office visit"",""temperature"",""98"",""36"",""blood pressure"",""84 mmHg"",""pulse"",""87 min"",""respirations"",""min"",""following physical exam findings"",""most likely to"",""present"",""patient""]"
"A man is brought into the emergency department by the police department. The officer state that the man has been arrested multiple times for public alcohol intoxication, but recently became homeless. On exam, the man is behaving erratically. His vitals are all within normal limits. He appears confused and has a slurred speech. On gait exam, the patient is ataxic and cannot stand without support for more than a few seconds. Labs return with the following values: Na 140, K 4, Cl 106, BUN 8, Cr 2. His ABG has pH 7.3, PaCO2 13mm, PaO2 130mm, HCO3 7. His urinalysis is shown in Figure 1. Blood salicylate levels return as normal. While you await other diagnostic tests, which of the following should be administered next to treat this patient?",Fomepizole,Ethanol,Naltrexone,Naloxone,Fomepizole,step2&3,D,"[""man"",""brought"",""emergency department"",""police department"",""state"",""man"",""arrested multiple times"",""public alcohol intoxication"",""recently"",""homeless"",""exam"",""man"",""normal limits"",""appears confused"",""slurred speech"",""gait exam"",""patient"",""ataxic"",""stand"",""support"",""more"",""seconds"",""Labs return"",""following values"",""Na"",""K 4"",""Cl"",""Cr 2"",""ABG"",""pH"",""3"",""PaO2"",""HCO3"",""urinalysis"",""shown"",""Blood salicylate levels return"",""normal"",""diagnostic tests"",""following"",""administered next to treat"",""patient""]"
"A medical research study is evaluating an investigational novel drug (medication 1) compared with standard therapy (medication 2) in patients presenting to the emergency department with myocardial infarction (MI). The study enrolled a total of 3,000 subjects, 1,500 in each study arm. Follow-up was conducted at 45 days post-MI. The following are the results of the trial:
Endpoints Medication 1 Medication 2 P-Value
Primary: death from cardiac causes 134 210 0.03
Secondary: hyperkalemia 57 70 0.4
What is the number needed to treat (NNT) for the primary endpoint of death from cardiac causes? (Round to the nearest whole number.)",20,5,16,20,50,step2&3,C,"[""medical"",""evaluating"",""investigational novel drug"",""medication 1"",""compared"",""standard therapy"",""medication 2"",""patients presenting"",""emergency department"",""myocardial infarction"",""study enrolled"",""total"",""subjects"",""1 500"",""study arm"",""Follow-up"",""conducted"",""days post-MI"",""following"",""results"",""trial"",""Endpoints Medication"",""2 P-Value Primary"",""death"",""cardiac"",""0.03 Secondary"",""hyperkalemia 57 70 0.4"",""number needed"",""treat"",""primary endpoint"",""death"",""cardiac causes"",""Round"",""nearest whole number""]"
